Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
804,122,974131,11690026,31991
805,120,976162,11699653,29592
806,135,975188,11697736,33069
807,153,978675,11696407,32098
808,126,975489,11687141,31277
809,128,978256,11688661,28163
810,135,978348,11705643,31888
811,135,976856,11664026,31730
812,126,975816,11694569,32655
813,129,976438,11698675,32941
814,121,975441,11712455,31705
815,126,976350,11707062,32887
816,125,977067,11696180,27570
817,122,977540,11713523,32707
818,125,976573,11711024,31979
819,123,974920,11717339,31150
820,120,977482,11697627,32059
821,120,977300,11714093,32775
822,134,976676,11679163,33091
823,127,976808,11715367,31304
824,128,973467,11704306,30089
825,121,978436,11707997,32696
826,135,976354,11690546,32861
827,123,975105,11699643,30158
828,129,977296,11710954,31634
829,121,977059,11693784,31146
830,130,982119,11712790,33413
831,122,981205,11698341,32188
832,128,974215,11721670,27766
833,122,975669,11698565,32235
834,159,975101,11686939,31810
835,125,978396,11682670,33867
836,121,977169,11704269,30924
837,133,977201,11691579,31990
838,131,974870,11711109,32060
839,129,975270,11709331,34293
840,122,976730,11710724,31237
841,122,977483,11706575,32131
842,122,979680,11712464,31901
843,123,978655,11693128,32726
844,123,976511,11712557,32951
845,123,976172,11693742,31982
846,170,975529,11700716,31736
847,128,976862,11705748,33515
848,128,976788,11702502,32741
849,121,974666,11705417,28059
850,175,978275,11700583,27775
851,121,976760,11695448,32685
852,123,981706,11706008,31562
853,121,978643,11703678,32379
854,135,985227,11699494,31882
855,122,977834,11698466,33171
856,131,973308,11696852,33723
857,127,975871,11705554,32575
858,128,973080,11670981,27849
859,121,976716,11700872,30832
860,119,974537,11700038,30166
861,123,976577,11679185,31833
862,134,974692,11699996,31086
863,135,977577,11678921,32955
864,124,979703,11683398,31133
865,118,976631,11701522,32358
866,126,974533,11709145,32130
867,127,977448,11701174,31250
868,122,978562,11698970,27839
869,121,974502,11689565,31895
870,132,981010,11690271,31679
871,137,981331,11704782,32147
872,122,975551,11693927,31895
873,121,980636,11709331,31917
874,123,975615,11703355,31933
875,122,976239,11706942,32726
876,122,976118,11707612,32703
877,120,979596,11704803,30713
878,137,976235,11704327,33311
879,137,981584,11686246,31728
880,122,975340,11691131,31714
881,134,976660,11705629,32370
882,122,977719,11706539,33255
883,169,973200,11699759,31750
884,121,975103,11697978,32397
885,123,975514,11710040,33030
886,122,978033,11712395,29429
887,130,976365,11700073,29716
888,142,976691,11708901,31657
889,122,980064,11699651,32128
890,136,976452,11707683,31770
891,126,976587,11699565,31717
892,134,977866,11692218,32332
893,124,973666,11699928,32487
894,128,979021,11711237,33258
895,127,980473,11715345,31063
896,127,978114,11706096,32549
897,129,976703,11713377,32704
898,123,981499,11719018,31062
899,122,978697,11718283,31735
900,121,976613,11708051,29987
901,124,977483,11718393,31775
902,134,979332,11695983,30188
903,121,979671,11709856,32132
904,140,978292,11703070,31698
905,124,976123,11709080,33072
906,190,976554,11701786,34149
907,120,978216,11709150,31954
908,122,977443,11698609,32845
909,127,976466,11710715,33034
910,122,975293,11704338,29779
911,126,977768,11707845,32540
912,135,977150,11703298,32127
913,129,975573,11700472,32519
914,129,977668,11700809,32960
915,162,974079,11710705,32749
916,123,976035,11690876,32926
917,123,979402,11702767,31660
918,123,974891,11691787,32015
919,125,975179,11683869,30869
920,123,975387,11697468,30792
921,124,974012,11701475,31350
922,121,975627,11693715,32047
923,123,976974,11702846,31086
924,123,978364,11710230,31199
925,116,976787,11682764,31086
926,116,974867,11711183,32032
927,123,979524,11702961,31636
928,121,973897,11701228,34195
929,122,974874,11709165,32131
930,135,980961,11710495,33099
931,131,975992,11705288,28238
932,125,975026,11708121,32408
933,120,978000,11707160,31527
934,121,978083,11695748,33459
935,126,976541,11692707,32526
936,135,976607,11705235,34642
937,127,975732,11696965,32794
938,128,974463,11714583,26873
939,127,976226,11700491,31642
940,122,976109,11705129,32055
941,129,975890,11707249,31287
942,126,978431,11704079,29100
943,121,977708,11695826,31648
944,121,977183,11718589,32070
945,129,979638,11705874,33036
946,122,977497,11718906,31118
947,126,978187,11715715,33997
948,122,975897,11706232,33162
949,121,974771,11707128,31863
950,172,976105,11699584,32648
951,123,974855,11716250,31920
952,115,977901,11701263,33646
953,117,978390,11702669,33026
954,129,978995,11703472,31769
955,125,978919,11713558,33413
956,119,979474,11682115,32648
957,177,977386,11715018,29915
958,128,972983,11714424,28356
959,122,977812,11697851,31156
960,121,973949,11696527,32972
961,135,976659,11709438,33069
962,130,975540,11699482,31031
963,123,977215,11709356,32525
964,133,976069,11706579,30704
965,131,977456,11703569,32058
966,130,976718,11703138,32556
967,121,976026,11679203,32671
968,124,982230,11711539,32267
969,129,981021,11707666,31916
970,123,977067,11707336,32839
971,135,977016,11684898,29241
972,122,975831,11692594,32587
973,124,979109,11713851,31599
974,128,976550,11715588,32022
975,137,976824,11700800,30034
